# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_deletion+splice_region_variant	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_frameshift_variant+splice_donor_variant+splice_region_variant+intron_variant	variants_effect_frameshift_variant+splice_region_variant	variants_effect_frameshift_variant+start_lost	variants_effect_frameshift_variant+stop_gained	variants_effect_frameshift_variant+stop_lost+splice_region_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_inframe_insertion+splice_region_variant	variants_effect_initiator_codon_variant	variants_effect_initiator_codon_variant+non_canonical_start_codon	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_missense_variant+splice_region_variant	variants_effect_splice_acceptor_variant+intron_variant	variants_effect_splice_acceptor_variant+splice_region_variant+intron_variant	variants_effect_splice_donor_variant+intron_variant	variants_effect_splice_donor_variant+splice_region_variant+intron_variant	variants_effect_splice_region_variant+intron_variant	variants_effect_splice_region_variant+splice_region_variant+intron_variant	variants_effect_splice_region_variant+stop_retained_variant	variants_effect_splice_region_variant+synonymous_variant	variants_effect_start_lost	variants_effect_start_lost+disruptive_inframe_insertion	variants_effect_start_lost+inframe_insertion	variants_effect_stop_gained	variants_effect_stop_gained+disruptive_inframe_insertion	variants_effect_stop_gained+inframe_insertion	variants_effect_stop_gained+splice_region_variant	variants_effect_stop_lost+splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_INTRON	total_score_INTRON	length_INTRON	bases_affected_SPLICE_SITE_ACCEPTOR	total_score_SPLICE_SITE_ACCEPTOR	length_SPLICE_SITE_ACCEPTOR	bases_affected_SPLICE_SITE_DONOR	total_score_SPLICE_SITE_DONOR	length_SPLICE_SITE_DONOR	bases_affected_SPLICE_SITE_REGION	total_score_SPLICE_SITE_REGION	length_SPLICE_SITE_REGION	bases_affected_TRANSCRIPT	total_score_TRANSCRIPT	length_TRANSCRIPT	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM
Exon_1_10025883_10026492	Gene_FGRRES_10155	FGRRES_10155		0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_10026925_10028187	Gene_FGRRES_17321_M	FGRRES_17321_M		0	2	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	500	3	0	1263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10030286_10030364	Gene_FGRRES_10157	FGRRES_10157		0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	500	0	0	0	1	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10032678_10032685	Gene_FGRRES_10158_M	FGRRES_10158_M		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10034795_10036363	Gene_FGRRES_10159	FGRRES_10159		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10036803_10036893	Gene_FGRRES_10160	FGRRES_10160		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10038291_10038515	Gene_FGRRES_20092	FGRRES_20092		0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10041286_10041821	Gene_FGRRES_17323	FGRRES_17323		0	1	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	500	2	0	741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10047926_10049633	Gene_FGRRES_10162	FGRRES_10162		0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_100504_100596	Gene_FGRRES_11649	FGRRES_11649		0	11	15	19	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	5	14	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	4	10	0	500	24	0	230	5	0	58	0	0	0	0	0	0	2	0	6	0	0	0	4	0	500
Exon_1_10050611_10050759	Gene_FGRRES_10163	FGRRES_10163		0	3	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	500	5	0	2033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10054117_10054161	Gene_FGRRES_10164	FGRRES_10164		1	1	3	3	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	500	5	0	1163	1	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10057127_10057309	Gene_FGRRES_20093	FGRRES_20093		0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	500
Exon_1_1005924_1006174	Gene_FGRRES_00318	FGRRES_00318		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10062847_10063391	Gene_FGRRES_10165	FGRRES_10165		0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	500	1	0	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10066617_10068443	Gene_FGRRES_17727	FGRRES_17727		0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	500	1	0	1827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10070128_10070161	Gene_FGRRES_10167	FGRRES_10167		0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	2231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_10076150_10078801	Gene_FGRRES_10168	FGRRES_10168		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_1007710_1008576	Gene_FGRRES_00319	FGRRES_00319		0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	500
Exon_1_10081037_10082371	Gene_FGRRES_17324_M	FGRRES_17324_M		0	0	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	500	1	0	1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10084683_10084948	Gene_FGRRES_10170	FGRRES_10170		0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	500
Exon_1_10086262_10086789	Gene_FGRRES_10171	FGRRES_10171		0	1	1	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	500	2	0	528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10087397_10088494	Gene_FGRRES_10172	FGRRES_10172		0	1	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	500	3	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_10090066_10090596	Gene_FGRRES_10173	FGRRES_10173		0	3	2	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	500	5	0	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10092183_10092733	Gene_FGRRES_10174	FGRRES_10174		0	8	2	8	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	4	0	500	10	0	420	2	0	329	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_10097962_10100049	Gene_FGRRES_10175	FGRRES_10175		0	2	4	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	500	6	0	2088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_10100828_10101401	Gene_FGRRES_10176	FGRRES_10176		0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_1010209_1010891	Gene_FGRRES_00320	FGRRES_00320		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10102518_10102598	Gene_FGRRES_10177	FGRRES_10177		0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_10104166_10105452	Gene_FGRRES_17326	FGRRES_17326		0	1	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	500	3	0	1287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10110710_10111317	Gene_FGRRES_13713	FGRRES_13713		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10112167_10112910	Gene_FGRRES_13714	FGRRES_13714		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10113377_10113737	Gene_FGRRES_10183	FGRRES_10183		0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	812	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	1	0	500
Exon_1_10116249_10116308	Gene_FGRRES_10184	FGRRES_10184		0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	500	1	0	511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10118108_10118152	Gene_FGRRES_10185	FGRRES_10185		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10119492_10120963	Gene_FGRRES_13715	FGRRES_13715		0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	1472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_1012150_1012389	Gene_FGRRES_00321	FGRRES_00321		0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10123344_10123550	Gene_FGRRES_10186	FGRRES_10186		0	0	1	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	500	1	0	207	1	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10124962_10128207	Gene_FGRRES_10187	FGRRES_10187		0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	3246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10130009_10130844	Gene_FGRRES_13716	FGRRES_13716		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_1013796_1014108	Gene_FGRRES_00322_M	FGRRES_00322_M		0	0	3	7	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	500	3	0	746	1	0	306	0	0	0	0	0	0	0	0	0	0	0	0	3	0	500
Exon_1_10140687_10140908	Gene_FGRRES_13717_M	FGRRES_13717_M		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10142834_10142984	Gene_FGRRES_13718	FGRRES_13718		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	1	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10145808_10145871	Gene_FGRRES_10189	FGRRES_10189		0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	3	0	5318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10153365_10153471	Gene_FGRRES_13719	FGRRES_13719		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10155724_10155858	Gene_FGRRES_10190	FGRRES_10190		0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	135	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0
Exon_1_1015596_1016459	Gene_FGRRES_00323	FGRRES_00323		0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_10157515_10158186	Gene_FGRRES_10191	FGRRES_10191		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10159329_10159836	Gene_FGRRES_10192	FGRRES_10192		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10161961_10162801	Gene_FGRRES_10194	FGRRES_10194		0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	500	2	0	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10165174_10165452	Gene_FGRRES_15041	FGRRES_15041		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_1017202_1017322	Gene_FGRRES_00324	FGRRES_00324		0	14	11	5	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	2	2	0	500	24	0	2196	1	0	235	0	0	0	0	0	0	1	0	6	0	0	0	2	0	500
Exon_1_10172303_10173830	Gene_FGRRES_10198	FGRRES_10198		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10175337_10176230	Gene_FGRRES_10199	FGRRES_10199		0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	500	3	0	2352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10180033_10180050	Gene_FGRRES_10200	FGRRES_10200		0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	500	1	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10182283_10182974	Gene_FGRRES_17327	FGRRES_17327		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10184441_10184515	Gene_FGRRES_10202	FGRRES_10202		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_10188478_10189512	Gene_FGRRES_10203	FGRRES_10203		0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	1789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10193208_10193504	Gene_FGRRES_15582	FGRRES_15582		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_101939_102128	Gene_FGRRES_00014_M	FGRRES_00014_M		0	4	0	18	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	15	0	500	4	0	526	1	0	77	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
