# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_missense_variant+splice_region_variant	variants_effect_splice_acceptor_variant+intron_variant	variants_effect_splice_donor_variant+intron_variant	variants_effect_splice_region_variant+intron_variant	variants_effect_splice_region_variant+stop_retained_variant	variants_effect_splice_region_variant+synonymous_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_gained+splice_region_variant	variants_effect_stop_lost+splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_INTRON	total_score_INTRON	length_INTRON	bases_affected_SPLICE_SITE_ACCEPTOR	total_score_SPLICE_SITE_ACCEPTOR	length_SPLICE_SITE_ACCEPTOR	bases_affected_SPLICE_SITE_DONOR	total_score_SPLICE_SITE_DONOR	length_SPLICE_SITE_DONOR	bases_affected_SPLICE_SITE_REGION	total_score_SPLICE_SITE_REGION	length_SPLICE_SITE_REGION	bases_affected_TRANSCRIPT	total_score_TRANSCRIPT	length_TRANSCRIPT	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM
Exon_1_10170043_10171725	Gene_FGRRES_10197_M	FGRRES_10197_M		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10172303_10173830	Gene_FGRRES_10198	FGRRES_10198		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10205030_10205857	Gene_FGRRES_10209	FGRRES_10209		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10212839_10212899	Gene_FGRRES_10212	FGRRES_10212		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10259840_10259864	Gene_FGRRES_13721	FGRRES_13721		0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	25	1	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10265207_10266166	Gene_FGRRES_17332	FGRRES_17332		0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10267652_10267999	Gene_FGRRES_10234	FGRRES_10234		0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10295369_10296768	Gene_FGRRES_10243	FGRRES_10243		0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_1030272_1030596	Gene_FGRRES_00327	FGRRES_00327		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10311549_10313258	Gene_FGRRES_10247	FGRRES_10247		0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	1710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10319548_10319584	Gene_FGRRES_17334	FGRRES_17334		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_1033973_1034404	Gene_FGRRES_00328	FGRRES_00328		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10339807_10340241	Gene_FGRRES_10257	FGRRES_10257		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10349666_10351546	Gene_FGRRES_10261	FGRRES_10261		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10385841_10385960	Gene_FGRRES_10271	FGRRES_10271		0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10389401_10389423	Gene_FGRRES_10272	FGRRES_10272		0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10393215_10394291	Gene_FGRRES_13728	FGRRES_13728		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10399955_10401811	Gene_FGRRES_10275	FGRRES_10275		0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10408902_10409003	Gene_FGRRES_10277_8_M	FGRRES_10277_8_M		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_1044591_1044657	Gene_FGRRES_15729_M	FGRRES_15729_M		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10478166_10478253	Gene_FGRRES_10301	FGRRES_10301		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_10486320_10486637	Gene_FGRRES_10303	FGRRES_10303		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10487588_10488003	Gene_FGRRES_10304	FGRRES_10304		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10502103_10502241	Gene_FGRRES_10312	FGRRES_10312		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10578196_10578840	Gene_FGRRES_10341	FGRRES_10341		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10579591_10580793	Gene_FGRRES_17350_M	FGRRES_17350_M		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10599859_10600283	Gene_FGRRES_10347	FGRRES_10347		0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10663996_10664510	Gene_FGRRES_10362	FGRRES_10362		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_1067620_1067793	Gene_FGRRES_00337	FGRRES_00337		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10678940_10679431	Gene_FGRRES_10370_M	FGRRES_10370_M		0	2	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	4	0	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10680731_10680974	Gene_FGRRES_10371	FGRRES_10371		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10689869_10690140	Gene_FGRRES_10375	FGRRES_10375		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10708832_10708973	Gene_FGRRES_17594	FGRRES_17594		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10748144_10750370	Gene_FGRRES_10389	FGRRES_10389		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10754460_10757495	Gene_FGRRES_10391	FGRRES_10391		0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10769542_10769802	Gene_FGRRES_10397	FGRRES_10397		0	1	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	500	1	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10776522_10776910	Gene_FGRRES_10401	FGRRES_10401		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10778275_10778433	Gene_FGRRES_15599	FGRRES_15599		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	500
Exon_1_10792917_10792982	Gene_FGRRES_10406	FGRRES_10406		0	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	500	3	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10797345_10797680	Gene_FGRRES_13750	FGRRES_13750		0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10797858_10797986	Gene_FGRRES_13751_M	FGRRES_13751_M		0	1	0	6	3	1	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	500	1	0	129	1	0	126	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_10799484_10799849	Gene_FGRRES_13752	FGRRES_13752		0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	500
Exon_1_10806866_10807096	Gene_FGRRES_15602	FGRRES_15602		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10812908_10813096	Gene_FGRRES_17355_M	FGRRES_17355_M		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10814305_10814471	Gene_FGRRES_17356	FGRRES_17356		0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10823467_10823601	Gene_FGRRES_17357	FGRRES_17357		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	500
Exon_1_10826263_10826405	Gene_FGRRES_17358	FGRRES_17358		0	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10834483_10835708	Gene_FGRRES_10419	FGRRES_10419		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10854892_10857011	Gene_FGRRES_10428	FGRRES_10428		0	2	3	1	0	0	3	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	4	0	2120	0	0	0	0	0	0	0	0	0	1	0	19	0	0	0	1	0	500
Exon_1_10857336_10857390	Gene_FGRRES_13757	FGRRES_13757		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_10863001_10866330	Gene_FGRRES_10431_M	FGRRES_10431_M		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10888543_10889562	Gene_FGRRES_13758	FGRRES_13758		0	6	2	3	0	0	2	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	8	0	1020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	500
Exon_1_10890047_10890970	Gene_FGRRES_13759_M	FGRRES_13759_M		0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10891543_10891611	Gene_FGRRES_17363	FGRRES_17363		0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10893014_10893067	Gene_FGRRES_10441_M	FGRRES_10441_M		0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10896579_10896837	Gene_FGRRES_10444	FGRRES_10444		0	1	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	500	1	0	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10897916_10900309	Gene_FGRRES_10445	FGRRES_10445		0	1	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	500	1	0	2394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10911529_10913718	Gene_FGRRES_17364	FGRRES_17364		0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10917263_10918496	Gene_FGRRES_17365	FGRRES_17365		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10921144_10921381	Gene_FGRRES_13761_2_M	FGRRES_13761_2_M		0	7	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	8	0	869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10945954_10946472	Gene_FGRRES_10464	FGRRES_10464		0	11	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	13	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_1096089_1096185	Gene_FGRRES_11752_M	FGRRES_11752_M		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10969194_10969447	Gene_FGRRES_17372	FGRRES_17372		0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10987899_10988185	Gene_FGRRES_10477	FGRRES_10477		0	2	2	5	0	0	2	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	4	0	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	500
Exon_1_10992282_10993023	Gene_FGRRES_10478	FGRRES_10478		0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	500	2	0	742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10993985_10994181	Gene_FGRRES_17373	FGRRES_17373		0	1	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	692	4	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_11016906_11017154	Gene_FGRRES_10485	FGRRES_10485		1	0	0	13	6	0	0	0	0	1	0	0	0	0	0	0	0	0	7	6	0	500	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	7	0	500
Exon_1_11023629_11023708	Gene_FGRRES_10487	FGRRES_10487		0	3	1	4	0	3	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	4	0	213	3	0	55	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_11033005_11033038	Gene_FGRRES_10488_M	FGRRES_10488_M		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_11039609_11041431	Gene_FGRRES_17374	FGRRES_17374		0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	1	0	1027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	500
Exon_1_11042886_11043234	Gene_FGRRES_10492	FGRRES_10492		1	3	0	6	6	0	0	0	0	0	0	0	0	0	1	0	0	3	0	6	0	500	4	0	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_11043864_11043959	Gene_FGRRES_10493	FGRRES_10493		0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_11046594_11048247	Gene_FGRRES_17375	FGRRES_17375		0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_11053973_11054902	Gene_FGRRES_10497_M	FGRRES_10497_M		0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_11055249_11055838	Gene_FGRRES_10498	FGRRES_10498		0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_11067334_11067733	Gene_FGRRES_10499	FGRRES_10499		0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1334	2	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_11073958_11074279	Gene_FGRRES_13775	FGRRES_13775		0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	1	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_11075832_11079223	Gene_FGRRES_10502	FGRRES_10502		0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6	0	3392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_11081338_11081976	Gene_FGRRES_10503	FGRRES_10503		0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	500
Exon_1_11105475_11106056	Gene_FGRRES_10511	FGRRES_10511		0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1481	1	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_11109274_11109426	Gene_FGRRES_15609	FGRRES_15609		1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_11109859_11110025	Gene_FGRRES_10512	FGRRES_10512		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_11111453_11111465	Gene_FGRRES_10513_M	FGRRES_10513_M		0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	3	0	500
Exon_1_11112369_11113528	Gene_FGRRES_17379	FGRRES_17379		0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	85	1	0	61	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_11114456_11114572	Gene_FGRRES_17380	FGRRES_17380		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	500
Exon_1_1111786_1112158	Gene_FGRRES_11753	FGRRES_11753		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_11123467_11123935	Gene_FGRRES_17381	FGRRES_17381		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_11138372_11138576	Gene_FGRRES_10518	FGRRES_10518		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	500
Exon_1_11141454_11141909	Gene_FGRRES_10519	FGRRES_10519		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_11142910_11143582	Gene_FGRRES_17382	FGRRES_17382		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_11151845_11156722	Gene_FGRRES_10523	FGRRES_10523		0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4878	1	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_11166943_11167524	Gene_FGRRES_10525	FGRRES_10525		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
