# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_frameshift_variant+splice_region_variant	variants_effect_frameshift_variant+start_lost	variants_effect_frameshift_variant+stop_gained	variants_effect_frameshift_variant+stop_lost+splice_region_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_inframe_insertion+splice_region_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_missense_variant+splice_region_variant	variants_effect_splice_acceptor_variant+intron_variant	variants_effect_splice_donor_variant+intron_variant	variants_effect_splice_donor_variant+splice_region_variant+intron_variant	variants_effect_splice_region_variant+intron_variant	variants_effect_splice_region_variant+stop_retained_variant	variants_effect_splice_region_variant+synonymous_variant	variants_effect_start_lost	variants_effect_start_lost+disruptive_inframe_insertion	variants_effect_stop_gained	variants_effect_stop_gained+disruptive_inframe_insertion	variants_effect_stop_gained+inframe_insertion	variants_effect_stop_gained+splice_region_variant	variants_effect_stop_lost+splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_INTRON	total_score_INTRON	length_INTRON	bases_affected_SPLICE_SITE_ACCEPTOR	total_score_SPLICE_SITE_ACCEPTOR	length_SPLICE_SITE_ACCEPTOR	bases_affected_SPLICE_SITE_DONOR	total_score_SPLICE_SITE_DONOR	length_SPLICE_SITE_DONOR	bases_affected_SPLICE_SITE_REGION	total_score_SPLICE_SITE_REGION	length_SPLICE_SITE_REGION	bases_affected_TRANSCRIPT	total_score_TRANSCRIPT	length_TRANSCRIPT	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM
Exon_1_10086262_10086789	Gene_FGRRES_10171	FGRRES_10171		0	1	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	500	2	0	528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10087397_10088494	Gene_FGRRES_10172	FGRRES_10172		0	1	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	500	2	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_10090066_10090596	Gene_FGRRES_10173	FGRRES_10173		0	3	1	5	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	500	4	0	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10092183_10092733	Gene_FGRRES_10174	FGRRES_10174		0	6	0	7	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	4	0	500	6	0	420	1	0	329	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_10097962_10100049	Gene_FGRRES_10175	FGRRES_10175		0	2	2	4	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	500	4	0	2088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_10100828_10101401	Gene_FGRRES_10176	FGRRES_10176		0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10102518_10102598	Gene_FGRRES_10177	FGRRES_10177		0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_10104166_10105452	Gene_FGRRES_17326	FGRRES_17326		0	1	2	4	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	500	3	0	1287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10113377_10113737	Gene_FGRRES_10183	FGRRES_10183		0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	361	2	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10116249_10116308	Gene_FGRRES_10184	FGRRES_10184		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10118108_10118152	Gene_FGRRES_10185	FGRRES_10185		0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	1	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10119492_10120963	Gene_FGRRES_13715	FGRRES_13715		0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	1472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10123344_10123550	Gene_FGRRES_10186	FGRRES_10186		0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10124962_10128207	Gene_FGRRES_10187	FGRRES_10187		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10130009_10130844	Gene_FGRRES_13716	FGRRES_13716		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10133104_10133150	Gene_FGRRES_20094	FGRRES_20094		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10138639_10139576	Gene_FGRRES_10188	FGRRES_10188		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10140687_10140908	Gene_FGRRES_13717_M	FGRRES_13717_M		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10145808_10145871	Gene_FGRRES_10189	FGRRES_10189		0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	5318	1	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10155724_10155858	Gene_FGRRES_10190	FGRRES_10190		0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	500	1	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10157515_10158186	Gene_FGRRES_10191	FGRRES_10191		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10159329_10159836	Gene_FGRRES_10192	FGRRES_10192		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10161961_10162801	Gene_FGRRES_10194	FGRRES_10194		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10165174_10165452	Gene_FGRRES_15041	FGRRES_15041		0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_1017202_1017322	Gene_FGRRES_00324	FGRRES_00324		0	1	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	500	4	0	4504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10172303_10173830	Gene_FGRRES_10198	FGRRES_10198		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10175337_10176230	Gene_FGRRES_10199	FGRRES_10199		0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	500	2	0	2352	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0
Exon_1_10180033_10180050	Gene_FGRRES_10200	FGRRES_10200		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10182283_10182974	Gene_FGRRES_17327	FGRRES_17327		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10188478_10189512	Gene_FGRRES_10203	FGRRES_10203		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10193208_10193504	Gene_FGRRES_15582	FGRRES_15582		0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_101939_102128	Gene_FGRRES_00014_M	FGRRES_00014_M		0	7	2	10	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	7	0	500	9	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	500
Exon_1_10197014_10197956	Gene_FGRRES_10205	FGRRES_10205		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10200817_10202419	Gene_FGRRES_17329	FGRRES_17329		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10203674_10203952	Gene_FGRRES_10208	FGRRES_10208		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10205030_10205857	Gene_FGRRES_10209	FGRRES_10209		0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10208990_10209343	Gene_FGRRES_10211	FGRRES_10211		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_10212839_10212899	Gene_FGRRES_10212	FGRRES_10212		0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	500	1	0	359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10213860_10214149	Gene_FGRRES_10213	FGRRES_10213		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10217635_10219335	Gene_FGRRES_17331	FGRRES_17331		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10220157_10220873	Gene_FGRRES_10216	FGRRES_10216		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10222386_10224592	Gene_FGRRES_10217	FGRRES_10217		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10225014_10225205	Gene_FGRRES_10218	FGRRES_10218		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10225995_10226150	Gene_FGRRES_10219	FGRRES_10219		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10228417_10231488	Gene_FGRRES_10221	FGRRES_10221		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10231729_10231802	Gene_FGRRES_15585	FGRRES_15585		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10240369_10240836	Gene_FGRRES_10226	FGRRES_10226		0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	500
Exon_1_10247114_10247226	Gene_FGRRES_13720	FGRRES_13720		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_1024974_1025069	Gene_FGRRES_00325	FGRRES_00325		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	500
Exon_1_10250510_10253398	Gene_FGRRES_17728	FGRRES_17728		0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	500	2	0	717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10259840_10259864	Gene_FGRRES_13721	FGRRES_13721		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	38	1	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_10262179_10263903	Gene_FGRRES_10232	FGRRES_10232		0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exon_1_1026305_1026952	Gene_FGRRES_00326_M	FGRRES_00326_M		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
