Query	Hit	Description	E-value
FGRRES_02808	FGSG_02808		0.0
FGRRES_02813	FGSG_02813		1e-124
FGRRES_02840	FGSG_02840		8e-138
FGRRES_02841	FGSG_02841		0.0
FGRRES_02842_M	FGSG_02842		2e-76
FGRRES_02857	FGSG_02857		1e-126
FGRRES_02858	FGSG_02858		2e-108
FGRRES_02871	FGSG_02871		3e-105
FGRRES_02878	FGSG_02878		0.0
FGRRES_02888	FGSG_02888		0.0
FGRRES_02889	FGSG_02889		4e-121
FGRRES_02896	FGSG_02896		0.0
FGRRES_02899	FGSG_02899		0.0
FGRRES_02903	FGSG_02903		2e-174
FGRRES_02904	FGSG_02904		3e-129
FGRRES_02909_M	FGSG_02909		0.0
FGRRES_02910_M	FGSG_02910		0.0
FGRRES_02913	FGSG_02913		4e-149
FGRRES_02925	FGSG_02925		0.0
FGRRES_02927_M	FGSG_02927		0.0
FGRRES_02928_M	FGSG_02928		0.0
FGRRES_02939	FGSG_02939		0.0
FGRRES_02945	FGSG_02080		5e-78
FGRRES_02947	FGSG_02947		0.0
FGRRES_02954	FGSG_02954		3e-85
FGRRES_02957	FGSG_02957		4e-90
FGRRES_02958_M	FGSG_02958		9e-124
FGRRES_02959	FGSG_02959		0.0
FGRRES_02963	FGSG_02963		0.0
FGRRES_02973	FGSG_02973		6e-69
FGRRES_02979	FGSG_02979		2e-81
FGRRES_02986	FGSG_02986		0.0
FGRRES_02988	FGSG_02988		0.0
FGRRES_02989	FGSG_02989		2e-61
FGRRES_02999	FGSG_02999		0.0
FGRRES_03007	FGSG_03007		1e-176
FGRRES_03021_M	FGSG_03021		4e-70
FGRRES_03022	FGSG_03022		5e-86
FGRRES_03025	FGSG_03025		0.0
FGRRES_03030_M	FGSG_03030		0.0
FGRRES_03043	FGSG_03043		0.0
FGRRES_03046	FGSG_03046		8e-117
FGRRES_03058_M	FGSG_03058		2e-118
FGRRES_03070	FGSG_03070		4e-133
FGRRES_03087_M	FGSG_03087		3e-71
FGRRES_03096	FGSG_03096		2e-146
FGRRES_03109	FGSG_03109		0.0
FGRRES_03113_M	FGSG_03113		0.0
FGRRES_03121	FGSG_13834		2e-67
FGRRES_03122	FGSG_03122		0.0
FGRRES_03124	FGSG_10575		3e-94
FGRRES_03128	FGSG_03128		2e-177
FGRRES_03130	FGSG_03130		5e-102
FGRRES_03134	FGSG_03134		1e-90
FGRRES_03152_M	FGSG_03152		0.0
FGRRES_03166_M	FGSG_03166		2e-114
FGRRES_03177_M	FGSG_00708		4e-52
FGRRES_03178	FGSG_03178		0.0
FGRRES_03183	FGSG_03183		0.0
FGRRES_03184_M	FGSG_03184		0.0
FGRRES_03193	FGSG_03193		1e-78
FGRRES_03196	FGSG_03196		5e-70
FGRRES_03203	FGSG_03203		0.0
FGRRES_03218	FGSG_03218		0.0
FGRRES_03220	FGSG_03220		0.0
FGRRES_03222	FGSG_03222		2e-80
FGRRES_03241	FGSG_03241		1e-79
FGRRES_03270_M	FGSG_03270		2e-133
FGRRES_03274	FGSG_03274		0.0
FGRRES_03281	FGSG_03281		1e-140
FGRRES_03296	FGSG_03296		7e-129
FGRRES_03297	FGSG_03297		4e-94
FGRRES_03298_M	FGSG_03298		9e-99
FGRRES_03302_M	FGSG_03302		1e-92
FGRRES_03331_M	FGSG_03331		0.0
FGRRES_03333	FGSG_03333		0.0
FGRRES_03337	FGSG_03337		0.0
FGRRES_03338	FGSG_03338		1e-91
FGRRES_03339	FGSG_03339		1e-93
FGRRES_03341_M	FGSG_03341		0.0
FGRRES_03344_M	FGSG_03344		0.0
FGRRES_03371	FGSG_03371		3e-170
FGRRES_03381	FGSG_03381		3e-143
FGRRES_03383	FGSG_03383		0.0
FGRRES_03386	FGSG_03386		1e-78
FGRRES_03390	FGSG_03390		0.0
FGRRES_03392_M	FGSG_03392		2e-128
FGRRES_03400	FGSG_03829		4e-179
FGRRES_03403	FGSG_03403		0.0
FGRRES_03420	FGSG_03420		1e-120
FGRRES_03423	FGSG_03423		1e-106
FGRRES_03434	FGSG_03434		0.0
FGRRES_03437	FGSG_03437		0.0
FGRRES_03446	FGSG_03446		0.0
FGRRES_03470	FGSG_03470		3e-82
FGRRES_03472	FGSG_03472		1e-102
FGRRES_03473_M	FGSG_03473		1e-109
FGRRES_03483	FGSG_13834		3e-64
FGRRES_03491	FGSG_03491		3e-125
FGRRES_03492_M	FGSG_03492		3e-85
FGRRES_03493	FGSG_03493		4e-92
FGRRES_03495_M	FGSG_03495		0.0
FGRRES_03505	FGSG_03505		0.0
FGRRES_03518	FGSG_03378		3e-75
FGRRES_03542_M	FGSG_03542		3e-83
FGRRES_03549	FGSG_03549		0.0
FGRRES_03550	FGSG_03550		2e-109
FGRRES_03564	FGSG_03564		6e-129
FGRRES_03573	FGSG_03573		3e-154
FGRRES_03585	FGSG_03585		1e-168
FGRRES_03596	FGSG_03596		3e-101
FGRRES_03621	FGSG_03621		2e-133
FGRRES_03630	FGSG_03630		0.0
FGRRES_03639	FGSG_02389		3e-55
FGRRES_03640	FGSG_03640		3e-121
FGRRES_03653	FGSG_03653		4e-149
FGRRES_03678	FGSG_03678		0.0
FGRRES_03680	FGSG_10816		7e-73
FGRRES_03691	FGSG_03691		0.0
FGRRES_03701_M	FGSG_03701		2e-147
FGRRES_03704_M	FGSG_03704		1e-88
FGRRES_03715	FGSG_03715		3e-73
FGRRES_03750	FGSG_03750		0.0
FGRRES_03757	FGSG_03757		4e-146
FGRRES_03763_M	FGSG_03763		8e-98
FGRRES_03766	FGSG_03766		3e-69
FGRRES_03776_M	FGSG_03776		2e-85
FGRRES_03789	FGSG_03789		0.0
FGRRES_03793	FGSG_03793		0.0
FGRRES_03794_M	FGSG_03794		1e-155
FGRRES_03811	FGSG_03811		6e-150
FGRRES_03827_M	FGSG_03827		0.0
FGRRES_03829	FGSG_03829		0.0
FGRRES_03831	FGSG_03831		0.0
FGRRES_03855_M	FGSG_02080		1e-92
FGRRES_03859	FGSG_03859		0.0
FGRRES_03861	FGSG_03861		0.0
FGRRES_03864	FGSG_03864		1e-87
FGRRES_03866	FGSG_03866		0.0
FGRRES_03868	FGSG_03868		4e-164
FGRRES_03907	FGSG_03907		0.0
FGRRES_03951	FGSG_08005		6e-54
FGRRES_03953_M	FGSG_03953		2e-126
FGRRES_03956	FGSG_02080		9e-61
FGRRES_03958	FGSG_03958		0.0
FGRRES_03980_M	FGSG_10632		4e-66
FGRRES_04007	FGSG_04007		6e-82
FGRRES_04008	FGSG_04008		0.0
FGRRES_04009	FGSG_04009		0.0
FGRRES_04013	FGSG_04013		0.0
FGRRES_04014	FGSG_03827		1e-72
FGRRES_04015	FGSG_04015		0.0
FGRRES_04018	FGSG_04018		0.0
FGRRES_04020	FGSG_04020		3e-154
FGRRES_04021	FGSG_04021		4e-78
FGRRES_04047_M	FGSG_04047		4e-134
FGRRES_04048	FGSG_04048		0.0
FGRRES_04060	FGSG_04060		2e-154
FGRRES_04066	FGSG_04066		0.0
FGRRES_04075	FGSG_04075		6e-149
FGRRES_04099_M	FGSG_04099		1e-151
FGRRES_04100	FGSG_04100		0.0
FGRRES_04116_M	FGSG_04116		8e-81
FGRRES_04129	FGSG_04129		0.0
FGRRES_04133	FGSG_04133		1e-95
FGRRES_04138	FGSG_04138		0.0
FGRRES_04142	FGSG_04142		0.0
FGRRES_04145	FGSG_04145		2e-79
FGRRES_04158	FGSG_04158		9e-100
FGRRES_04162	FGSG_04162		0.0
FGRRES_04188	FGSG_02080		2e-56
FGRRES_04200	FGSG_04200		0.0
FGRRES_04224	FGSG_04224		0.0
FGRRES_04228	FGSG_04228		9e-117
FGRRES_04258_M	FGSG_04258		5e-170
FGRRES_04307	FGSG_04307		0.0
FGRRES_04331	FGSG_04331		0.0
FGRRES_04340	FGSG_04340		1e-148
FGRRES_04341	FGSG_04341		0.0
FGRRES_04342	FGSG_02389		2e-53
FGRRES_04344	FGSG_04344		7e-166
FGRRES_04348	FGSG_04348		1e-169
FGRRES_04367	FGSG_04367		0.0
FGRRES_04372_M	FGSG_04372		1e-137
FGRRES_04373	FGSG_04373		4e-157
FGRRES_04374_M	FGSG_04374		2e-166
FGRRES_04383	FGSG_04383		0.0
FGRRES_04391	FGSG_04391		6e-178
FGRRES_04422	FGSG_04422		3e-119
FGRRES_04429	FGSG_04429		0.0
FGRRES_04438	FGSG_06192		3e-96
FGRRES_04450	FGSG_04450		2e-162
FGRRES_04459	FGSG_04459		0.0
FGRRES_04462	FGSG_04462		4e-131
FGRRES_04469	FGSG_04469		2e-175
FGRRES_04472	FGSG_04472		1e-69
FGRRES_04475	FGSG_04475		1e-146
FGRRES_04493	FGSG_04493		1e-134
FGRRES_04495	FGSG_04495		4e-86
FGRRES_04496_M	FGSG_11997		4e-58
FGRRES_04498_M	FGSG_04498		2e-71
FGRRES_04507	FGSG_04507		0.0
FGRRES_04518	FGSG_04518		0.0
FGRRES_04521	FGSG_04521		0.0
FGRRES_04522_M	FGSG_04522		0.0
FGRRES_04526_M	FGSG_10632		2e-74
FGRRES_04528	FGSG_04528		0.0
FGRRES_04531	FGSG_04531		1e-66
FGRRES_04535	FGSG_04535		2e-95
FGRRES_04538	FGSG_04538		0.0
FGRRES_04540	FGSG_04540		0.0
FGRRES_04541	FGSG_04541		5e-90
FGRRES_04550_M	FGSG_04550		1e-92
FGRRES_04552	FGSG_04552		1e-99
FGRRES_04562	FGSG_04562		0.0
FGRRES_04563	FGSG_04563		0.0
FGRRES_04581	FGSG_04581		7e-79
FGRRES_04597_M	FGSG_04597		4e-152
FGRRES_04604	FGSG_04604		0.0
FGRRES_04614	FGSG_04614		2e-145
FGRRES_04615	FGSG_04615		1e-178
FGRRES_04617	FGSG_04617		0.0
FGRRES_04622_M	FGSG_04622		0.0
FGRRES_04623_M	FGSG_04623		1e-62
FGRRES_04626	FGSG_04626		6e-144
FGRRES_04633_M	FGSG_04633		0.0
FGRRES_04638_M	FGSG_04638		5e-149
FGRRES_04639	FGSG_04639		0.0
FGRRES_04646_M	FGSG_04646		4e-133
FGRRES_04649_M	FGSG_04649		7e-112
FGRRES_04652_M	FGSG_04652		2e-76
FGRRES_04655	FGSG_04655		0.0
FGRRES_04661	FGSG_04661		1e-122
FGRRES_04671_M	FGSG_04671		0.0
FGRRES_04687	FGSG_04687		1e-125
FGRRES_04689_M	FGSG_04690		0.0
FGRRES_04695	FGSG_04695		0.0
FGRRES_04698	FGSG_04698		4e-104
FGRRES_04707	FGSG_04707		0.0
FGRRES_04708	FGSG_04708		0.0
FGRRES_04714_M	FGSG_04714		2e-93
FGRRES_04723	FGSG_02080		2e-56
FGRRES_04739	FGSG_10676		9e-79
FGRRES_04742_M	FGSG_04742		3e-58
FGRRES_04752_M	FGSG_04752		0.0
FGRRES_04760_M	FGSG_04760		0.0
FGRRES_04766	FGSG_04766		0.0
FGRRES_04768	FGSG_03827		1e-82
FGRRES_04781	FGSG_04781		0.0
FGRRES_04784	FGSG_04784		4e-158
FGRRES_04785	FGSG_04785		0.0
FGRRES_04792	FGSG_04792		2e-94
FGRRES_04805	FGSG_04805		2e-93
FGRRES_04816	FGSG_04816		0.0
FGRRES_04823_M	FGSG_04823		0.0
FGRRES_04840	FGSG_04840		0.0
FGRRES_04841	FGSG_04841		0.0
FGRRES_04842_M	FGSG_04842		0.0
FGRRES_04850	FGSG_04850		5e-74
FGRRES_04871	FGSG_04871		0.0
FGRRES_04878	FGSG_04878		6e-72
FGRRES_04891	FGSG_04891		1e-96
FGRRES_04912	FGSG_04912		2e-163
FGRRES_04916	FGSG_04916		0.0
FGRRES_04918	FGSG_04918		4e-71
FGRRES_04921	FGSG_04921		2e-118
FGRRES_04931	FGSG_04931		0.0
FGRRES_04932	FGSG_04932		0.0
FGRRES_04933	FGSG_04933		6e-110
FGRRES_04942	FGSG_04942		9e-115
FGRRES_04952	FGSG_04952		3e-148
FGRRES_04954	FGSG_04954		7e-72
FGRRES_04956	FGSG_04956		4e-164
FGRRES_04959	FGSG_04959		0.0
FGRRES_04960	FGSG_04960		3e-121
FGRRES_04961	FGSG_04961		0.0
FGRRES_04962	FGSG_04962		2e-116
FGRRES_04963	FGSG_04963		0.0
FGRRES_04964	FGSG_04964		1e-114
FGRRES_04977_M	FGSG_04977		7e-65
FGRRES_04999	FGSG_04999		0.0
FGRRES_05005	FGSG_05005		0.0
FGRRES_05017	FGSG_05017		0.0
FGRRES_05019	FGSG_05019		8e-125
FGRRES_05020	FGSG_05020		0.0
FGRRES_05031	FGSG_05031		0.0
FGRRES_05034	FGSG_05034		0.0
FGRRES_05056	FGSG_05056		9e-124
FGRRES_05061	FGSG_05061		0.0
FGRRES_05071	FGSG_05071		8e-119
FGRRES_05078	FGSG_05078		1e-112
FGRRES_05103	FGSG_05103		4e-78
FGRRES_05115	FGSG_05115		0.0
FGRRES_05118	FGSG_05118		2e-130
FGRRES_05126	FGSG_05126		3e-177
FGRRES_05129	FGSG_05129		3e-83
FGRRES_05146	FGSG_05146		0.0
FGRRES_05155	FGSG_05155		0.0
FGRRES_05178	FGSG_05178		8e-148
FGRRES_05185	FGSG_05185		8e-109
FGRRES_05232	FGSG_05232		0.0
FGRRES_05237	FGSG_05237		2e-135
FGRRES_05241	FGSG_05241		0.0
FGRRES_05289	FGSG_05289		1e-150
FGRRES_05296	FGSG_05296		6e-77
FGRRES_05325	FGSG_05325		0.0
FGRRES_05339	FGSG_05339		3e-176
FGRRES_05340	FGSG_05340		0.0
FGRRES_05343	FGSG_05343		0.0
FGRRES_05348	FGSG_05348		2e-61
FGRRES_05354	FGSG_05354		0.0
FGRRES_05356	FGSG_05356		2e-74
FGRRES_05358_M	FGSG_05358		0.0
FGRRES_05362	FGSG_05362		0.0
FGRRES_05445_M	FGSG_05445		3e-69
FGRRES_05474	FGSG_05474		4e-95
FGRRES_05476_M	FGSG_05476		4e-100
FGRRES_05486	FGSG_05486		0.0
FGRRES_05497	FGSG_05497		2e-92
FGRRES_05517	FGSG_05517		0.0
FGRRES_05521	FGSG_05521		0.0
FGRRES_05526	FGSG_05526		7e-140
FGRRES_05528	FGSG_05528		3e-83
FGRRES_05534	FGSG_05534		1e-70
FGRRES_05536	FGSG_05536		0.0
FGRRES_05548	FGSG_05548		0.0
FGRRES_05552	FGSG_05552		6e-83
FGRRES_05569	FGSG_05569		1e-78
FGRRES_05570	FGSG_05570		2e-123
FGRRES_05577	FGSG_05577		0.0
FGRRES_05593	FGSG_08005		2e-56
FGRRES_05626	FGSG_05626		6e-79
FGRRES_05650	FGSG_05650		0.0
FGRRES_05667	FGSG_05667		5e-134
FGRRES_05677	FGSG_05677		4e-75
FGRRES_05684	FGSG_05684		1e-160
FGRRES_05694	FGSG_05694		1e-142
FGRRES_05715	FGSG_05715		6e-170
FGRRES_05719	FGSG_05719		0.0
FGRRES_05742	FGSG_05742		0.0
FGRRES_05746	FGSG_05746		0.0
FGRRES_05747	FGSG_05747		0.0
FGRRES_05758	FGSG_05758		2e-144
FGRRES_05760	FGSG_05760		2e-127
FGRRES_05776	FGSG_05776		0.0
FGRRES_05782	FGSG_05782		0.0
FGRRES_05783	FGSG_05783		0.0
FGRRES_05785	FGSG_05785		3e-112
FGRRES_05796	FGSG_05796		0.0
FGRRES_05808	FGSG_05808		1e-142
FGRRES_05812	FGSG_02389		1e-66
FGRRES_05815	FGSG_05815		0.0
FGRRES_05817	FGSG_05817		2e-119
FGRRES_05832	FGSG_05832		2e-87
FGRRES_05838	FGSG_05838		0.0
FGRRES_05849	FGSG_05849		0.0
FGRRES_05850	FGSG_05850		0.0
