Query	Hit	Description	E-value
FGRRES_00179	2315|PHI:2315|ChLae1|G4XKY9|5016|Cochliobolus	heterostrophus|Mixed outcome	2e-24
FGRRES_00186	2597|PHI:2597|Pir32|Q59PW0	|746128|Aspergillus fumigatus|Mixed outcome	1e-38
FGRRES_00192	2117|PHI:2117|SPM1|P58371|148305|Magnaporthe	oryzae (related: Magnaporthe grisea)|Reduced virulence	0.0
FGRRES_00195	812|PHI:812|MGG_10702|EDJ94108|318829|Magnaporthe	oryzae|Reduced virulence	8e-15
FGRRES_00196_M	1995|PHI:1995|GzZC310|I1R9P3|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00197	812|PHI:812|MGG_10702|EDJ94108|318829|Magnaporthe	oryzae|Reduced virulence	1e-63
FGRRES_00200	922|PHI:922|um03615||5270|Ustilago	maydis|Unaffected pathogenicity	5e-38
FGRRES_00201	441|PHI:441|BTP1|CAE55153|40559|Botrytis	cinerea|Reduced virulence	1e-07
FGRRES_00205	211|PHI:211|CaTUP1|AAB63195|5476|Candida	albicans|Reduced virulence	3e-12
FGRRES_00213	2802|PHI:2802|3hnr|B2ZRQ4|93612|Setosphaeria	turcica|Unaffected pathogenicity	8e-08
FGRRES_00217	1996|PHI:1996|GzZC311|I1R9R2|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00219	1662|PHI:1662|GzCCHC002|I1REJ1|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	7e-71
FGRRES_00226	3381	| FVEG_12533 | PHI:3381 | W7N2B4 | 117187 | Fusarium verticillioides | unaffected pathogenicity	3e-105
FGRRES_00227	1994|PHI:1994|GzZC309|I1R9S1|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00231	881|PHI:881|MGG_04556|EDJ96020|318829|Magnaporthe	oryzae|Reduced virulence	1e-31
FGRRES_00235	1993|PHI:1993|GzZC308|I1R9S7|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00236	2895|PHI:2895|F-avi4330|B9JV05|373|Agrobacterium	vitis|Loss of pathogenicity	3e-18
FGRRES_00251_M	352|PHI:352|GLO1|CAD79488|5270|Ustilago	maydis|Loss of pathogenicity	5e-10
FGRRES_00270	2020|PHI:2020|Tup1|XP_759427|5270|Ustilago	maydis|Mixed outcome	2e-10
FGRRES_00276	1561|PHI:1561|GzOB001|I1R9W2|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00280_M	1317|PHI:1317|GzBrom002|I1RQE9|5518|Gibberella	zeae (related: Fusarium graminearum)|Reduced virulence	1e-15
FGRRES_00284	4506	| So (soft) | PHI:4506 | K9Y567 | 35717 | Epichloe festucae | effector (plant avirulence determinant)	9e-48
FGRRES_00287	2321|PHI:2321|SidI|Q4WR83|746128|Aspergillus	fumigatus|Reduced virulence	3e-39
FGRRES_00296	3257	| MoIlv1 | PHI:3257 | G4MU34 | 318829 | Magnaporthe oryzae | reduced virulence	0.0
FGRRES_00297	2866|PHI:2866|ORF19.3625|Q59Y24|5476|Candida	albicans|Reduced virulence	5e-10
FGRRES_00304	270|PHI:270|RHO1|BAA24262|5476|Candida	albicans|Loss of pathogenicity	5e-71
FGRRES_00307	1469|PHI:1469|GzHMG001|I1R9Z0|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00313	1989|PHI:1989|GzZC304|I1R9Z6|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00316	2401|PHI:2401|CaRING1|G0T3B3|456327|Xanthomonas	campestris pv vesicatoria|Mixed outcome	4e-10
FGRRES_00318	1537|PHI:1537|MYT1|I1RA01|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00324	1538|PHI:1538|GzMyb002|I1RA07|5518|Gibberella	zeae (related: Fusarium graminearum)|Reduced virulence	0.0
FGRRES_00330	3274	| dhbF | PHI:3274 | W2E906 | 147375 | Paenibacillus larvae | unaffected pathogenicity	6e-17
FGRRES_00332	446|PHI:446|TBL1||5518|Fusarium	graminearum|Reduced virulence	0.0
FGRRES_00334	3415	| Fre2 | PHI:3415 | T2BNJ5 | 5207 | Cryptococcus neoformans | mixed outcome	3e-18
FGRRES_00337	1244|PHI:1244|FGSG_00792|I1RA20|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00338	2538|PHI:2538|AUR1|Q4WXL8|746128|Aspergillus	fumigatus|Mixed outcome	3e-138
FGRRES_00342	1342|PHI:1342|GzC2H002|I1RA24|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	2e-156
FGRRES_00345	1662|PHI:1662|GzCCHC002|I1REJ1|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	2e-71
FGRRES_00346_M	2519|PHI:2519|LYS9|Q4WQ27|746128|Aspergillus	fumigatus|Lethal	0.0
FGRRES_00350	1608|PHI:1608|GzP53L001|Q4IR08|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00352	1461|PHI:1461|GzCCAAT001|I1RA31|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00355	3278	| CoIra1 | PHI:3278 | N4V0R3 | 5465 | Colletotrichum orbiculare | reduced virulence	1e-22
FGRRES_00362	1205|PHI:1205|(Sc	CDC15)|I1RA39|5518|Gibberella zeae (related: Fusarium graminearum)|Reduced virulence	0.0
FGRRES_00370	2544|PHI:2544|PAB1|Q4WK03|746128|Aspergillus	fumigatus|Mixed outcome	2e-10
FGRRES_00374	1453|PHI:1453|GzAra001|I1RA50|5518|Gibberella	zeae (related: Fusarium graminearum)|Lethal	0.0
FGRRES_00376	445|PHI:445|NOS1||5518|Fusarium	graminearum|Reduced virulence	0.0
FGRRES_00385	1470|PHI:1470|GzHMG002|Q4IQX3|5518|Gibberella	zeae (related: Fusarium graminearum)|Reduced virulence	2e-68
FGRRES_00387	3325	| PGM | PHI:3325 | B5TQV9 | 1348 | Streptococcus parauberis | reduced virulence	6e-18
FGRRES_00397	2530|PHI:2530|TUB1|Q4WKG5|746128|Aspergillus	fumigatus|Mixed outcome	0.0
FGRRES_00404	1986|PHI:1986|GzZC301|I1RA77|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00405	26|PHI:26|CaMDR1|CAA37820|5476|Candida	albicans|Reduced virulence	1e-08
FGRRES_00407	3301	| patN | PHI:3301 | A0A075TRB3 | 27334 | Penicillium expansum | unaffected pathogenicity	3e-20
FGRRES_00408	1198|PHI:1198|(Sc	Ssk2/Ssk22)|I1RA81|5518|Gibberella zeae (related: Fusarium graminearum)|Reduced virulence	0.0
FGRRES_00414	211|PHI:211|CaTUP1|AAB63195|5476|Candida	albicans|Reduced virulence	8e-33
FGRRES_00421	877|PHI:877|MGG_00383|EDK03005|318829|Magnaporthe	oryzae|Reduced virulence	0.0
FGRRES_00425	3069	| MrAC | PHI:3069 | E9F4P0 | 568076 | Metarhizium robertsii | reduced virulence	2e-06
FGRRES_00433	1256|PHI:1256|FGSG_02153|I1RAA6|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00442	2544|PHI:2544|PAB1|Q4WK03|746128|Aspergillus	fumigatus|Mixed outcome	3e-10
FGRRES_00444	474|PHI:474|CNB1|AAG13937|5207|Cryptococcus	neoformans|Loss of pathogenicity	4e-09
FGRRES_00448	1579|PHI:1579|GzOB019|I1RM25|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00449	334|PHI:334|CGB1|AAO25585|5016|Cochliobolus	heterostrophus|Loss of pathogenicity	4e-08
FGRRES_00460	2008|PHI:2008|HST1|EDJ98541|148305|Magnaporthe	oryzae (related: Magnaporthe grisea)|Unaffected pathogenicity	5e-14
FGRRES_00467	2419|PHI:2419|CID1|I1RKF3|5518|Gibberella	zeae (related: Fusarium graminearum)|Reduced virulence	8e-07
FGRRES_00468	2020|PHI:2020|Tup1|XP_759427|5270|Ustilago	maydis|Mixed outcome	8e-23
FGRRES_00469	1241|PHI:1241|FGSG_07816|I1RAE2|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00472	3131	| FgSCH9 | PHI:3131 | I1RAE5 | 5518 | Fusarium graminearum | mixed outcome	0.0
FGRRES_00477	1343|PHI:1343|GzC2H003|I1RAF0|5518|Gibberella	zeae (related: Fusarium graminearum)|Reduced virulence	0.0
FGRRES_00480	213|PHI:213|CPA1|AAF69795|5207|Cryptococcus	neoformans|Reduced virulence	4e-39
FGRRES_00491	2114|PHI:2114|Calnexin|MGG_01607|148305|Magnaporthe	oryzae (related: Magnaporthe grisea)|Loss of pathogenicity	0.0
FGRRES_00496	2540|PHI:2540|IPP1|Q4WX65|746128|Aspergillus	fumigatus|Mixed outcome	0.0
FGRRES_00500	217|PHI:217|HXK1|EAK93243|5476|Candida	albicans|Reduced virulence	1e-21
FGRRES_00502	1629|PHI:1629|GzWing001|I1RAH2|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00503	443|PHI:443|CBL1||5518|Fusarium	graminearum|Reduced virulence	1e-06
FGRRES_00504	1562|PHI:1562|GzOB002|I1RAH4|5518|Gibberella	zeae (related: Fusarium graminearum)|Lethal	0.0
FGRRES_00508	440|PHI:440|PMR1|CAB87245|5476|Candida	albicans|Reduced virulence	0.0
FGRRES_00515	1319|PHI:1319|GzbZIP001|I1RAI5|5518|Gibberella	zeae (related: Fusarium graminearum)|Reduced virulence	0.0
FGRRES_00520	2030|PHI:2030|TGL3-1|G4N492|148305|Magnaporthe	oryzae (related: Magnaporthe grisea)|Unaffected pathogenicity	9e-81
FGRRES_00523	350|PHI:350|EMP1|AAR06609|318829|Magnaporthe	oryzae|Reduced virulence	5e-18
FGRRES_00529	2710|PHI:2710|mepB	|H8ZZ79|474922|Colletotrichum gloeosporioides|Reduced virulence	1e-143
FGRRES_00530	3236	| Aph1 | PHI:3236 | J9VHR6 | 5207 | Cryptococcus neoformans | mixed outcome	1e-83
FGRRES_00536	2545|PHI:2545|TIF35|Q4X1I3|746128|Aspergillus	fumigatus|Mixed outcome	4e-09
FGRRES_00539	513|PHI:513|ARN1	(related: SIT1)|EAK97011|5476|Candida albicans|Reduced virulence	3e-44
FGRRES_00541	2042|PHI:2042|ABC3|Q3Y5V5|148305|Magnaporthe	oryzae (related: Magnaporthe grisea)|Loss of pathogenicity	2e-169
FGRRES_00542	800|PHI:800|MGG_13324|EDK00897|318829|Magnaporthe	oryzae|Reduced virulence	7e-14
FGRRES_00545	1300|PHI:1300|GzbHLH001|I1RAL4|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00550	2009|PHI:2009|HOS4|EDK06449|148305|Magnaporthe	oryzae (related: Magnaporthe grisea)|Unaffected pathogenicity	6e-06
FGRRES_00551	1458|PHI:1458|GzAra006|Q4I7F9|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	8e-09
FGRRES_00555	2032|PHI:2032|VTL1|G4NGA7|148305|Magnaporthe	oryzae (related: Magnaporthe grisea)|Unaffected pathogenicity	8e-07
FGRRES_00559_M	1566|PHI:1566|GzOB006|I1RC95|5518|Gibberella	zeae (related: Fusarium graminearum)|Lethal	6e-102
FGRRES_00568	1768|PHI:1768|GzZC083|I1RAN6|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	1e-137
FGRRES_00571	566|PHI:566|cel2|AAK19621|5017|Cochliobolus	carbonum|Unaffected pathogenicity	6e-82
FGRRES_00572	2968|PHI:2968|Hxs1|J9VQA5|5207|Cryptococcus	neoformans|Reduced virulence	2e-34
FGRRES_00573	1988|PHI:1988|GzZC303|I1RAP1|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00574	1987|PHI:1987|GzZC302|I1RAP2|5518|Gibberella	zeae (related: Fusarium graminearum)|Reduced virulence	0.0
FGRRES_00576	383|PHI:383|SOD5|EAL00626|5476|Candida	albicans|Loss of pathogenicity	1e-24
FGRRES_00578	2022|PHI:2022|BUF1|MGG_02252|148305|Magnaporthe	oryzae (related: Magnaporthe grisea)|Loss of pathogenicity	7e-26
FGRRES_00583	803|PHI:803|MGG_04629|EDJ95969|318829|Magnaporthe	oryzae|Reduced virulence	2e-06
FGRRES_00584	1344|PHI:1344|GzC2H004|I1RAQ0|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00586	3314	| cca1 | PHI:3314 | G4MNN4 | 318829 | Magnaporthe oryzae | loss of pathogenicity	4e-48
FGRRES_00592	805|PHI:805|MGG_00124|EDK03309|318829|Magnaporthe	oryzae|Reduced virulence	3e-131
FGRRES_00593	2731|PHI:2731|VdSge1|G2XD29|27337|Verticillium	dahliae|Loss of pathogenicity	4e-22
FGRRES_00595	405|PHI:405|PDE1|AAK07740|318829|Magnaporthe	oryzae|Reduced virulence	0.0
FGRRES_00604	2964|PHI:2964|AsnB|G7TM01|129394|Xanthomonas	oryzae pv. Oryzicola|Reduced virulence	7e-12
FGRRES_00607	455|PHI:455|CAP59|AAC13946|5207|Cryptococcus	neoformans|Loss of pathogenicity	1e-24
FGRRES_00608	399|PHI:399|PMT4|EAK95207|5476|Candida	albicans|Reduced virulence	0.0
FGRRES_00610	2514|PHI:2514|PFS2|Q4X1Y0|746128|Aspergillus	fumigatus|Lethal	2e-06
FGRRES_00612	2510|PHI:2510|msdS/AfmsdC|Q6PWQ1|746128|Aspergillus	fumigatus|Unaffected pathogenicity	5e-55
FGRRES_00620	2710|PHI:2710|mepB	|H8ZZ79|474922|Colletotrichum gloeosporioides|Reduced virulence	0.0
FGRRES_00625	1985|PHI:1985|GzZC300|I1RAT9|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00626	1458|PHI:1458|GzAra006|Q4I7F9|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	2e-07
FGRRES_00627	241|PHI:241|CAC1|AAG60619|5207|Cryptococcus	neoformans|Loss of pathogenicity	3e-15
FGRRES_00637	4613	| esaN | PHI:4613 | D0ZDL7 | 636 | Edwardsiella tarda | mixed outcome	8e-29
FGRRES_00639	2530|PHI:2530|TUB1|Q4WKG5|746128|Aspergillus	fumigatus|Mixed outcome	0.0
FGRRES_00641	4506	| So (soft) | PHI:4506 | K9Y567 | 35717 | Epichloe festucae | effector (plant avirulence determinant)	4e-08
FGRRES_00653	1345|PHI:1345|GzC2H005|I1RAW2|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	4e-178
FGRRES_00654	3348	| nfu | PHI:3348 | Q2FID9 | 1280 | Staphylococcus aureus | reduced virulence	3e-11
FGRRES_00655	2255|PHI:2255|Abd1|Q0U2A0|13684|Phaeosphaeria	nodorum (related: Stagonospora nodorum)|Unaffected pathogenicity	0.0
FGRRES_00659	2488|PHI:2488|Man1|G4ND25|148305|Magnaporthe	oryzae (related: Magnaporthe grisea)|Unaffected pathogenicity	3e-62
FGRRES_00660	346|PHI:346|CRU1|AAN10186|5270|Ustilago	maydis|Reduced virulence	4e-85
FGRRES_00667	2020|PHI:2020|Tup1|XP_759427|5270|Ustilago	maydis|Mixed outcome	9e-10
FGRRES_00669	267|PHI:267|MLT1|AAD51594|5476|Candida	albicans|Reduced virulence	5e-97
FGRRES_00671	1563|PHI:1563|GzOB003|I1RAX7|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	1e-113
FGRRES_00677	1218|PHI:1218|FGSG_01559|I1RAY2|5518|Gibberella	zeae (related: Fusarium graminearum)|Lethal	0.0
FGRRES_00678	1471|PHI:1471|GzHMG003|I1RAY3|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00680	860|PHI:860|MSP1|AAX07670|318829|Magnaporthe	oryzae|Reduced virulence	8e-07
FGRRES_00695	2823|PHI:2823|PES1|Q59X38|5476|Candida	albicans|Reduced virulence	8e-137
FGRRES_00696	1472|PHI:1472|GzHMG004|I1RAZ9|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00704	2832|PHI:2832|AKT3-1|Q9P4U9|5599|Alternaria	alternata|Loss of pathogenicity	3e-74
FGRRES_00710	1443|PHI:1443|GzGATA001|I1RB11|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00713	1968|PHI:1968|GzZC283|I1RB12|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00717	1564|PHI:1564|GzOB004|Q4IPZ1|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	1e-66
FGRRES_00719	1967|PHI:1967|GzZC282|I1RB16|5518|Gibberella	zeae (related: Fusarium graminearum)|Reduced virulence	0.0
FGRRES_00721	2488|PHI:2488|Man1|G4ND25|148305|Magnaporthe	oryzae (related: Magnaporthe grisea)|Unaffected pathogenicity	2e-11
FGRRES_00725	1966|PHI:1966|GzZC281|I1RB21|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00729	1473|PHI:1473|GzHMG005|I1RB25|5518|Gibberella	zeae (related: Fusarium graminearum)|Reduced virulence	0.0
FGRRES_00737	253|PHI:253|FOS1|AAK27436|5085|Aspergillus	fumigatus|Reduced virulence	1e-60
FGRRES_00739	576|PHI:576|NoxA|BAE72680|35717|Epichloe	festucae|Enhanced antagonism	0.0
FGRRES_00740	194|PHI:194|URE1|AAC62257|5207|Cryptococcus	neoformans|Reduced virulence	0.0
FGRRES_00747	3387	| FVEG_12523 | PHI:3387 | W7MT31 | 117187 | Fusarium verticillioides | unaffected pathogenicity	4e-25
FGRRES_00750	1301|PHI:1301|GzbHLH002|I1RB45|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	4e-86
FGRRES_00760	2544|PHI:2544|PAB1|Q4WK03|746128|Aspergillus	fumigatus|Mixed outcome	6e-06
FGRRES_00764	1346|PHI:1346|GzC2H006|I1RB57|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	1e-117
FGRRES_00765	2304|PHI:2304|BCFHG1|CAP74387|40559|Botrytis	cinerea|Unaffected pathogenicity	1e-138
FGRRES_00767	191|PHI:191|TOM1|AAB08446|39703|Septoria	lycopersici|Unaffected pathogenicity	2e-47
FGRRES_00768	2107|PHI:2107|Zinc-regulated	transporter 2|MGG_05905|148305|Magnaporthe oryzae (related: Magnaporthe grisea)|Mixed outcome	3e-92
FGRRES_00773	3238	| ctrC | PHI:3238 | B0XUP5 | 746128 | Aspergillus fumigatus | mixed outcome	3e-55
FGRRES_00774	1984|PHI:1984|GzZC299|I1RB67|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00777_M	277|PHI:277|BCP1|AAQ16572|40559|Botrytis	cinerea|Reduced virulence	8e-108
FGRRES_00778	1630|PHI:1630|GzWing002|I1RB71|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00780	216|PHI:216|HDC1|AAK35180|5017|Cochliobolus	carbonum|Reduced virulence	0.0
FGRRES_00783	747|PHI:747|um00445|Not	available|5270|Ustilago maydis|Unaffected pathogenicity	5e-10
FGRRES_00786	1249|PHI:1249|FGSG_00132|I1RB79|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00787	1555|PHI:1555|GzMyb019|I1RDG6|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	8e-41
FGRRES_00792	1263|PHI:1263|FGSG_04770|I1RB84|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00797	1052|PHI:1052|PHL1|ACB38886|135779|Cercospora	zeae-maydis|Unaffected pathogenicity	6e-22
FGRRES_00799	1474|PHI:1474|GzHMG006|I1RB89|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00800	1983|PHI:1983|GzZC298|I1RB90|5518|Gibberella	zeae (related: Fusarium graminearum)|Lethal	0.0
FGRRES_00806	2117|PHI:2117|SPM1|P58371|148305|Magnaporthe	oryzae (related: Magnaporthe grisea)|Reduced virulence	3e-80
FGRRES_00808	339|PHI:339|CLPT1|CAC41973|290576|Colletotrichum	lindemuthianum|Reduced virulence	1e-27
FGRRES_00813	1842|PHI:1842|GzZC157|I1RBA2|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00818	235|PHI:235|VPH1|AAK81705|5207|Cryptococcus	neoformans|Reduced virulence	0.0
FGRRES_00829	1475|PHI:1475|GzHMG007|I1RBB7|5518|Gibberella	zeae (related: Fusarium graminearum)|Unaffected pathogenicity	0.0
FGRRES_00833	512|PHI:512|CaNAG6|BAB43823|5476|Candida	albicans|Reduced virulence	6e-169
